iter	Logloss
0	0.5836763284
1	0.5010496568
2	0.4368981185
3	0.3866464351
4	0.3495060358
5	0.3191377467
6	0.2967931776
7	0.2743196304
8	0.2570641388
9	0.2443497729
10	0.2303194943
11	0.2187456158
12	0.2105702371
13	0.2043290665
14	0.1989418946
15	0.1942650641
16	0.1902268061
17	0.1874694402
18	0.1840825626
19	0.1814189387
20	0.1789800934
21	0.1774754635
22	0.1762769036
23	0.1744272831
24	0.1730027311
25	0.1719029841
26	0.1706734313
27	0.1692012641
28	0.1676513058
29	0.166499126
30	0.1657872538
31	0.1654411827
32	0.164749627
33	0.164057222
34	0.1632843895
35	0.1626752569
36	0.1624318019
37	0.1620090569
38	0.1615466473
39	0.1610093145
40	0.160533752
41	0.1601683287
42	0.1597597838
43	0.1596335704
44	0.1591920443
45	0.1585243877
46	0.1580264012
47	0.1577143026
48	0.1574029758
49	0.1570884443
50	0.1567754427
51	0.1566578206
52	0.1565241611
53	0.1564233811
54	0.1562579248
55	0.15585873
56	0.155552388
57	0.1553429101
58	0.1550834054
59	0.1549922804
60	0.1549047707
61	0.154835408
62	0.1546595312
63	0.1544911598
64	0.154266916
65	0.1541597036
66	0.1539289571
67	0.1537745676
68	0.1536830704
69	0.1535901588
70	0.1535402078
71	0.1533216526
72	0.1530941709
73	0.152882535
74	0.1526272917
75	0.1524742051
76	0.1523843025
77	0.1522619428
78	0.1521150678
79	0.152025581
80	0.1518864412
81	0.1517799198
82	0.1517025809
83	0.1516439
84	0.1513993415
85	0.1513993392
86	0.1513453886
87	0.1512582577
88	0.1512011641
89	0.1510897647
90	0.1510305345
91	0.1509338742
92	0.1508211736
93	0.1506689508
94	0.1504529114
95	0.150306409
96	0.150107646
97	0.1499505174
98	0.1498831121
99	0.1497078473
100	0.1496377111
101	0.1494278571
102	0.149280752
103	0.1492185418
104	0.1491657814
105	0.1489975439
106	0.148975773
107	0.1489543218
108	0.1488137561
109	0.1486803015
110	0.1484624277
111	0.1483915259
112	0.1483554203
113	0.1483524286
114	0.1482089783
115	0.1481608509
116	0.1481193921
117	0.1480451771
118	0.1479528242
119	0.1478177167
120	0.1476785985
121	0.1476198681
122	0.1475195206
123	0.1474568421
124	0.1474259932
125	0.1473807043
126	0.1473058839
127	0.1472106394
128	0.1471022609
129	0.1470196912
130	0.1470139239
131	0.1468939452
132	0.1467816451
133	0.1467666454
134	0.1465515902
135	0.1464282161
136	0.1463365127
137	0.1461921615
138	0.1461125236
139	0.1460446402
140	0.1459450811
141	0.1459186394
142	0.1457483503
143	0.1455806193
144	0.1454795134
145	0.1453596445
146	0.1453312372
147	0.1452178252
148	0.1450944094
149	0.1450790342
150	0.1450009631
151	0.1449151844
152	0.1448179594
153	0.1447682047
154	0.1445565832
155	0.144556374
156	0.1444832633
157	0.1444521264
158	0.1443616902
159	0.1443438742
160	0.1441862009
161	0.1440362084
162	0.1439653344
163	0.1438259222
164	0.1436560747
165	0.1436009195
166	0.1435540063
167	0.1435071987
168	0.1434879374
169	0.1433463463
170	0.1433176873
171	0.1432959849
172	0.1432700915
173	0.143201719
174	0.1432017107
175	0.1431339416
176	0.1430661641
177	0.1430309302
178	0.1429912501
179	0.1429614792
180	0.1429041239
181	0.1428065375
182	0.1427915297
183	0.1426515792
184	0.1425585931
185	0.1424656503
186	0.1424614912
187	0.1424128963
188	0.1424128449
189	0.1422959521
190	0.1420980857
191	0.1420980842
192	0.1420639963
193	0.1420101004
194	0.1419422725
195	0.1419421933
196	0.1419375213
197	0.1418944597
198	0.1417627431
199	0.1417132118
200	0.1416758379
201	0.1416334331
202	0.1415089203
203	0.1414799323
204	0.1413924452
205	0.1413922128
206	0.1413602797
207	0.1413035375
208	0.1412028356
209	0.1411206103
210	0.1409769736
211	0.1408779731
212	0.1408223493
213	0.140713608
214	0.1405055297
215	0.140411431
216	0.1403241803
217	0.1402440978
218	0.1401683011
219	0.1400910102
220	0.1400289602
221	0.1399684155
222	0.1398935649
223	0.1398909625
224	0.1398193966
225	0.1397682819
226	0.1396377921
227	0.1396040847
228	0.139459352
229	0.1393711482
230	0.1393347054
231	0.1392775096
232	0.1391603648
233	0.1391093149
234	0.1390697499
235	0.1390067478
236	0.1389505282
237	0.1388976927
238	0.1388616563
239	0.1387968241
240	0.138723312
241	0.1386475288
242	0.1385308568
243	0.1384900354
244	0.1383560691
245	0.138297082
246	0.1381921938
247	0.1381896019
248	0.1381083934
249	0.1380477081
250	0.1380190396
251	0.1379861568
252	0.1379647929
253	0.137916316
254	0.1377988595
255	0.1376829353
256	0.1376048114
257	0.1375028262
258	0.1374781402
259	0.137416842
260	0.137259608
261	0.1372086023
262	0.1371922448
263	0.137109154
264	0.1369959934
265	0.1369696546
266	0.1369326
267	0.1368236673
268	0.1367684965
269	0.136702489
270	0.1365835863
271	0.1364813073
272	0.1364105453
273	0.1363792655
274	0.1363419502
275	0.1362521323
276	0.1360964869
277	0.1359990162
278	0.1359554544
279	0.135934773
280	0.1357968128
281	0.1357439008
282	0.1356925698
283	0.1356634459
284	0.1356116232
285	0.1355431786
286	0.1355110246
287	0.1354395239
288	0.1353237819
289	0.1353084854
290	0.1352622728
291	0.1352360607
292	0.1352036649
293	0.1351489241
294	0.1350618538
295	0.1349458403
296	0.1348760658
297	0.1348195115
298	0.1347689851
299	0.1347055147
300	0.1346487274
301	0.1346241021
302	0.1345969143
303	0.1345603595
304	0.1345067965
305	0.1344485882
306	0.1343766615
307	0.1342922093
308	0.1341985433
309	0.1341291731
310	0.1340611854
311	0.1339764033
312	0.1339359436
313	0.1339151417
314	0.1338820478
315	0.1338145047
316	0.133783681
317	0.133707865
318	0.1336186636
319	0.133565389
320	0.1333978926
321	0.1333536238
322	0.133296736
323	0.1332097307
324	0.1331153048
325	0.1330364959
326	0.1329507859
327	0.1328981467
328	0.1328081191
329	0.1327207778
330	0.1325770975
331	0.1325119164
332	0.1324394719
